,tr_build_id,gh_project_name,gh_is_pr,gh_pr_created_at,gh_lang,git_branch,gh_num_commits_in_push,git_prev_commit_resolution_status,tr_prev_build,gh_first_commit_created_at,gh_team_size,gh_sloc,gh_pushed_at,tr_status,tr_log_setup_time,tr_log_bool_tests_failed,tr_log_buildduration
3146457,104724520.0,fog/fog,False,,ruby,master,3.0,merge_found,,2015-08-29 08:32:59,76,106650,2016-01-25,errored,3.0,False,
3146469,104724600.0,fog/fog,False,,ruby,master,5.0,merge_found,,2016-01-15 12:14:33,76,106650,2016-01-25,errored,2.0,False,
3146505,104727100.0,Casecommons/pg_search,False,,ruby,master,1.0,build_found,100241720.0,2016-01-20 17:26:46,5,2457,2016-01-20,passed,1.0,False,
3146567,104728470.0,adhearsion/adhearsion,False,,ruby,master,11.0,merge_found,,2015-12-18 16:09:22,5,7485,2016-01-07,errored,1.0,,
3146574,104728990.0,openSUSE/open-build-service,False,,ruby,master,6.0,merge_found,,2016-01-25 09:18:55,19,30800,2016-01-25,passed,34.0,,
3146791,104747870.0,openstreetmap/openstreetmap-website,False,,ruby,master,1.0,build_found,103305160.0,2016-01-25 21:26:54,3,12285,2016-01-25,passed,4.0,False,
3146796,104752110.0,rails-api/active_model_serializers,False,,ruby,master,2.0,merge_found,,2016-01-07 19:32:10,47,1811,2016-01-25,passed,1.0,False,
3146820,104754780.0,rails-api/active_model_serializers,False,,ruby,master,2.0,build_found,102534490.0,2016-01-19 04:38:12,47,1813,2016-01-25,passed,1.0,,
3146912,104759944.0,activeadmin/activeadmin,True,2016-01-25 21:47:24,ruby,master,3.0,build_found,101532970.0,2016-01-20 19:22:50,19,6896,2016-02-14,failed,0.0,False,
3147070,104775496.0,activeadmin/activeadmin,False,,ruby,master,1.0,build_found,103606376.0,2015-08-25 15:09:49,19,6898,2016-01-25,failed,1.0,False,
3147127,104777880.0,gavinlaking/vedeu,False,,ruby,master,2.0,merge_found,,2015-08-25 15:09:49,3,31009,2016-01-26,passed,1.0,False,
